"Acad Plan"	"Dept Descrshort"	"Dept Descrformal"	"Acad Plan Effdt"	"Acad Plan Percent Owned"	"Acad Plan Descr"
"0660"	"Medical Sc"	"Medical School"	"1901/01/01 00:00:00"	"100"	"Assistant Resident"
"7950"	"Medical Sc"	"Medical School"	"1901/01/01 00:00:00"	"100"	"Resident"
"6590"	"Medical Sc"	"Medical School"	"1901/01/01 00:00:00"	"100"	"Other"
"1290PHD"	"CellDvBiol"	"Cell and Developmental Biology"	"1901/01/01 00:00:00"	"100"	"Cell & Developmental Biol PhD"
"1290"	"CellDvBiol"	"Cell and Developmental Biology"	"1901/01/01 00:00:00"	"100"	"Cell & Developmental Biology"
"8930BS"	"Music"	"School of Music, Theatre and Dance"	"1901/01/01 00:00:00"	"100"	"Sound Engineering BS"
"8930"	"Music"	"School of Music, Theatre and Dance"	"1901/01/01 00:00:00"	"100"	"Sound Engineering"
"4770CGR"	"Latin Amer"	"Latin Amer & Carribean Studies"	"1901/01/01 00:00:00"	"100"	"Latin Amer & Caribbean St CGR"
"4740PHD"	"Bioinforma"	"Bioinformatics"	"1901/01/01 00:00:00"	"100"	"Bioinformatics PhD"
"4740MS"	"Bioinforma"	"Bioinformatics"	"1901/01/01 00:00:00"	"100"	"Bioinformatics MS"
"4740"	"Bioinforma"	"Bioinformatics"	"1901/01/01 00:00:00"	"100"	"Bioinformatics"
"0880BSE"	"Biomedical"	"Biomedical Engineering"	"1901/01/01 00:00:00"	"100"	"Biomedical Engineering BSE"
"5250ABLSA"	"History De"	"History Department"	"1901/01/01 00:00:00"	"100"	"Medieval & Early Modern St BA"
"5250BSLSA"	"History De"	"History Department"	"1901/01/01 00:00:00"	"100"	"Medieval & Early Modern St BS"
"1160MBA24"	"BUS AD"	"School of Business Administration"	"1901/01/01 00:00:00"	"100"	"Business Administration MBA"
"7880MPP16"	"SPP"	"School Of Public Policy"	"1901/01/01 00:00:00"	"100"	"Public Policy MPP"
"7880MPP17"	"SPP"	"School Of Public Policy"	"1901/01/01 00:00:00"	"100"	"Public Policy MPP"
"4820JD11"	"Law School"	"Law School"	"1901/01/01 00:00:00"	"100"	"Juris Doctor"
"4820"	"Law School"	"Law School"	"1901/01/01 00:00:00"	"100"	"Law"
"AAASABLSA"	"AfroAm&Af"	"Department of Afro-American and African Studies"	"1901/01/01 00:00:00"	"100"	"Minor -Afro Am & Africa St BA"
"AAASBSLSA"	"AfroAm&Af"	"Department of Afro-American and African Studies"	"1901/01/01 00:00:00"	"100"	"Minor -Afro Am & Africa St BS"
"APPSTABLSA"	"Statistics"	"Statistics Department"	"1901/01/01 00:00:00"	"100"	"Minor -Applied Statistics BA"
"APPSTBSLSA"	"Statistics"	"Statistics Department"	"1901/01/01 00:00:00"	"100"	"Minor -Applied Statistics BS"
"BIOLABLSA"	"Biology De"	"Biology Department"	"1901/01/01 00:00:00"	"100"	"Minor -Biology BA"
"BIOLBSLSA"	"Biology De"	"Biology Department"	"1901/01/01 00:00:00"	"100"	"Minor -Biology BS"
"CLARCABLSA"	"Classical"	"Classical Studies Department"	"1901/01/01 00:00:00"	"100"	"Minor -Class Archaeology BA"
"CLARCBSLSA"	"Classical"	"Classical Studies Department"	"1901/01/01 00:00:00"	"100"	"Minor -Class Archaeology BS"
"CLLCABLSA"	"Slavic Lan"	"Slavic Languages & Lit Dept"	"1901/01/01 00:00:00"	"100"	"Minor -Czech Lan, Lit & Cul BA"
"CLLCBSLSA"	"Slavic Lan"	"Slavic Languages & Lit Dept"	"1901/01/01 00:00:00"	"100"	"Minor -Czech Lan, Lit & Cul BS"
"ESGABLSA"	"Earth & En"	"Earth and Environmental Sciences"	"1901/01/01 00:00:00"	"100"	"Minor -Earth Sciences Gener BA"
"ESGBSLSA"	"Earth & En"	"Earth and Environmental Sciences"	"1901/01/01 00:00:00"	"100"	"Minor -Earth Sciences Gener BS"
"EESABLSA"	"CREEES"	"Center for Russian, E. European & Eurasian Studies"	"1901/01/01 00:00:00"	"100"	"Minor -East European St BA"
"EESBSLSA"	"CREEES"	"Center for Russian, E. European & Eurasian Studies"	"1901/01/01 00:00:00"	"100"	"Minor -East European St BS"
"ECONABLSA"	"Economics"	"Economics Department"	"1901/01/01 00:00:00"	"100"	"Minor -Economics BA"
"ECONBSLSA"	"Economics"	"Economics Department"	"1901/01/01 00:00:00"	"100"	"Minor -Economics BS"
"ENVGABLSA"	"Earth & En"	"Earth and Environmental Sciences"	"1901/01/01 00:00:00"	"100"	"Minor -Environment Geology BA"
"ENVGBSLSA"	"Earth & En"	"Earth and Environmental Sciences"	"1901/01/01 00:00:00"	"100"	"Minor -Environment Geology BS"
"FFSABLSA"	"Romance La"	"Romance Languages Department"	"1901/01/01 00:00:00"	"100"	"Minor -French & Francoph St BA"
"FFSBSLSA"	"Romance La"	"Romance Languages Department"	"1901/01/01 00:00:00"	"100"	"Minor -French & Francoph St BS"
"GCHEMABLSA"	"Earth & En"	"Earth and Environmental Sciences"	"1901/01/01 00:00:00"	"100"	"Minor -Geochemistry BA"
"GCHEMBSLSA"	"Earth & En"	"Earth and Environmental Sciences"	"1901/01/01 00:00:00"	"100"	"Minor -Geochemistry BS"
"GERSABLSA"	"Germanic L"	"Germanic Languages & Lit Dept"	"1901/01/01 00:00:00"	"100"	"Minor -German Studies BA"
"GERSBSLSA"	"Germanic L"	"Germanic Languages & Lit Dept"	"1901/01/01 00:00:00"	"100"	"Minor -German Studies BS"
"GLCHABLSA"	"Environmen"	"Program in the Environment"	"1901/01/01 00:00:00"	"100"	"Minor -Global Change BA"
"GLCHBSLSA"	"Environmen"	"Program in the Environment"	"1901/01/01 00:00:00"	"100"	"Minor -Global Change BS"
"HISTABLSA"	"History De"	"History Department"	"1901/01/01 00:00:00"	"100"	"Minor -History BA"
"HISTBSLSA"	"History De"	"History Department"	"1901/01/01 00:00:00"	"100"	"Minor -History BS"
"JUDSTABLSA"	"Judaic Stu"	"Judaic Studies Program"	"1901/01/01 00:00:00"	"100"	"Minor -Judaic Studies BA"
"JUDSTBSLSA"	"Judaic Stu"	"Judaic Studies Program"	"1901/01/01 00:00:00"	"100"	"Minor -Judaic Studies BS"
"LLCAGABLSA"	"Classical"	"Classical Studies Department"	"1901/01/01 00:00:00"	"100"	"Minor -Lan,Lit,Clt A Greec BA"
"LLCAGBSLSA"	"Classical"	"Classical Studies Department"	"1901/01/01 00:00:00"	"100"	"Minor -Lan,Lit,Clt A Greec BS"
"LLCARABLSA"	"Classical"	"Classical Studies Department"	"1901/01/01 00:00:00"	"100"	"Minor -Lan,Lit,Cult An Rome BA"
"LLCARBSLSA"	"Classical"	"Classical Studies Department"	"1901/01/01 00:00:00"	"100"	"Minor -Lan,Lit,Cult An Rome BS"
"RESCO"	"L S & A"	"College of Literature, Science, and the Arts"	"1901/01/01 00:00:00"	"100"	"Residential College"
"LACSABLSA"	"Latin Amer"	"Latin Amer & Carribean Studies"	"1901/01/01 00:00:00"	"100"	"Minor -Lat Am & Carib St BA"
"LACSBSLSA"	"Latin Amer"	"Latin Amer & Carribean Studies"	"1901/01/01 00:00:00"	"100"	"Minor -Lat Am & Carib St BS"
"LINGABLSA"	"Linguistic"	"Department of Linguistics"	"1901/01/01 00:00:00"	"100"	"Minor -Linguistics BA"
"LINGBSLSA"	"Linguistic"	"Department of Linguistics"	"1901/01/01 00:00:00"	"100"	"Minor -Linguistics BS"
"MATHABLSA"	"Mathematic"	"Mathematics Department"	"1901/01/01 00:00:00"	"100"	"Minor -Mathematics BA"
"MATHBSLSA"	"Mathematic"	"Mathematics Department"	"1901/01/01 00:00:00"	"100"	"Minor -Mathematics BS"
"OCEANABLSA"	"Earth & En"	"Earth and Environmental Sciences"	"1901/01/01 00:00:00"	"100"	"Minor -Oceanography BA"
"OCEANBSLSA"	"Earth & En"	"Earth and Environmental Sciences"	"1901/01/01 00:00:00"	"100"	"Minor -Oceanography BS"
"PALEOABLSA"	"Earth & En"	"Earth and Environmental Sciences"	"1901/01/01 00:00:00"	"100"	"Minor -Paleontology BA"
"PALEOBSLSA"	"Earth & En"	"Earth and Environmental Sciences"	"1901/01/01 00:00:00"	"100"	"Minor -Paleontology BS"
"PHYABLSA"	"Physics De"	"Physics Department"	"1901/01/01 00:00:00"	"100"	"Minor -Physics BA"
"PHYBSLSA"	"Physics De"	"Physics Department"	"1901/01/01 00:00:00"	"100"	"Minor -Physics BS"
"PLLCABLSA"	"Slavic Lan"	"Slavic Languages & Lit Dept"	"1901/01/01 00:00:00"	"100"	"Minor -Polish Lang,Lit,Cult BA"
"PLLCBSLSA"	"Slavic Lan"	"Slavic Languages & Lit Dept"	"1901/01/01 00:00:00"	"100"	"Minor -Polish Lang,Lit,Cult BS"
"POLSCABLSA"	"Political"	"Political Science Department"	"1901/01/01 00:00:00"	"100"	"Minor -Political Science BA"
"POLSCBSLSA"	"Political"	"Political Science Department"	"1901/01/01 00:00:00"	"100"	"Minor -Political Science BS"
"RLLCABLSA"	"Slavic Lan"	"Slavic Languages & Lit Dept"	"1901/01/01 00:00:00"	"100"	"Minor -Russian Lang,Lit,Cul BA"
"RLLCBSLSA"	"Slavic Lan"	"Slavic Languages & Lit Dept"	"1901/01/01 00:00:00"	"100"	"Minor -Russian Lang,Lit,Cul BS"
"RUSSTABLSA"	"CREEES"	"Center for Russian, E. European & Eurasian Studies"	"1901/01/01 00:00:00"	"100"	"Minor -Russian Studies BA"
"RUSSTBSLSA"	"CREEES"	"Center for Russian, E. European & Eurasian Studies"	"1901/01/01 00:00:00"	"100"	"Minor -Russian Studies BS"
"SCANSABLSA"	"Germanic L"	"Germanic Languages & Lit Dept"	"1901/01/01 00:00:00"	"100"	"Minor -Scandinavian Studies BA"
"SCANSBSLSA"	"Germanic L"	"Germanic Languages & Lit Dept"	"1901/01/01 00:00:00"	"100"	"Minor -Scandinavian Studies BS"
"SPLLCABLSA"	"Romance La"	"Romance Languages Department"	"1901/01/01 00:00:00"	"100"	"Minor -Spanish Lang,Lit,Cul BA"
"SPLLCBSLSA"	"Romance La"	"Romance Languages Department"	"1901/01/01 00:00:00"	"100"	"Minor -Spanish Lang,Lit,Cul BS"
"STATABLSA"	"Statistics"	"Statistics Department"	"1901/01/01 00:00:00"	"100"	"Minor -Statistics BA"
"STATBSLSA"	"Statistics"	"Statistics Department"	"1901/01/01 00:00:00"	"100"	"Minor -Statistics BS"
"4470MSI2"	"INFOR"	"School of Information"	"2001/06/27 00:00:00"	"100"	"Information MSI"
"ANTHRABLSA"	"Anthropolo"	"Anthropology Department"	"1901/01/01 00:00:00"	"100"	"Minor -Anthropology BA"
"ANTHRBSLSA"	"Anthropolo"	"Anthropology Department"	"1901/01/01 00:00:00"	"100"	"Minor -Anthropology BS"
"BIOANABLSA"	"Anthropolo"	"Anthropology Department"	"1901/01/01 00:00:00"	"100"	"Minor -Biolog Anthropology BA"
"BIOANBSLSA"	"Anthropolo"	"Anthropology Department"	"1901/01/01 00:00:00"	"100"	"Minor -Biolog Anthropology BS"
"1164MBA"	"BUS AD"	"School of Business Administration"	"1901/01/01 00:00:00"	"100"	"Business Administration MBA"
"AAASBS"	"AfroAm&Af"	"Department of Afro-American and African Studies"	"1901/01/01 00:00:00"	"100"	"Minor -Afro Am & Africa St BS"
"AAASAB"	"AfroAm&Af"	"Department of Afro-American and African Studies"	"1901/01/01 00:00:00"	"100"	"Minor -Afro Am & Africa St BA"
"ANTHRAB"	"Anthropolo"	"Anthropology Department"	"1901/01/01 00:00:00"	"100"	"Minor -Anthropology BA"
"ANTHRBS"	"Anthropolo"	"Anthropology Department"	"1901/01/01 00:00:00"	"100"	"Minor -Anthropology BS"
"APPSTAB"	"Statistics"	"Statistics Department"	"1901/01/01 00:00:00"	"100"	"Minor -Applied Statistics BA"
"APPSTBS"	"Statistics"	"Statistics Department"	"1901/01/01 00:00:00"	"100"	"Minor -Applied Statistics BS"
"BIOANAB"	"Anthropolo"	"Anthropology Department"	"1901/01/01 00:00:00"	"100"	"Minor -Biolog Anthropology BA"
"BIOANBS"	"Anthropolo"	"Anthropology Department"	"1901/01/01 00:00:00"	"100"	"Minor -Biolog Anthropology BS"
"BIOLAB"	"Biology De"	"Biology Department"	"1901/01/01 00:00:00"	"100"	"Minor -Biology BA"
"BIOLBS"	"Biology De"	"Biology Department"	"1901/01/01 00:00:00"	"100"	"Minor -Biology BS"
"CLARCAB"	"Classical"	"Classical Studies Department"	"1901/01/01 00:00:00"	"100"	"Minor -Class Archaeology BA"
"CLARCBS"	"Classical"	"Classical Studies Department"	"1901/01/01 00:00:00"	"100"	"Minor -Class Archaeology BS"
"CLLCAB"	"Slavic Lan"	"Slavic Languages & Lit Dept"	"1901/01/01 00:00:00"	"100"	"Minor -Czech Lan, Lit & Cul BA"
"CLLCBS"	"Slavic Lan"	"Slavic Languages & Lit Dept"	"1901/01/01 00:00:00"	"100"	"Minor -Czech Lan, Lit & Cul BS"
"ECONAB"	"Economics"	"Economics Department"	"1901/01/01 00:00:00"	"100"	"Minor -Economics BA"
"ECONBS"	"Economics"	"Economics Department"	"1901/01/01 00:00:00"	"100"	"Minor -Economics BS"
"EESAB"	"CREEES"	"Center for Russian, E. European & Eurasian Studies"	"1901/01/01 00:00:00"	"100"	"Minor -East European St BA"
"EESBS"	"CREEES"	"Center for Russian, E. European & Eurasian Studies"	"1901/01/01 00:00:00"	"100"	"Minor -East European St BS"
"ENVGAB"	"Earth & En"	"Earth and Environmental Sciences"	"1901/01/01 00:00:00"	"100"	"Minor -Environment Geology BA"
"ENVGBS"	"Earth & En"	"Earth and Environmental Sciences"	"1901/01/01 00:00:00"	"100"	"Minor -Environment Geology BS"
"ESGAB"	"Earth & En"	"Earth and Environmental Sciences"	"1901/01/01 00:00:00"	"100"	"Minor -Earth Sciences Gener BA"
"ESGBS"	"Earth & En"	"Earth and Environmental Sciences"	"1901/01/01 00:00:00"	"100"	"Minor -Earth Sciences Gener BS"
"FFSAB"	"Romance La"	"Romance Languages Department"	"1901/01/01 00:00:00"	"100"	"Minor -French & Francoph St BA"
"FFSBS"	"Romance La"	"Romance Languages Department"	"1901/01/01 00:00:00"	"100"	"Minor -French & Francoph St BS"
"GCHEMAB"	"Earth & En"	"Earth and Environmental Sciences"	"1901/01/01 00:00:00"	"100"	"Minor -Geochemistry BA"
"GCHEMBS"	"Earth & En"	"Earth and Environmental Sciences"	"1901/01/01 00:00:00"	"100"	"Minor -Geochemistry BS"
"GERSAB"	"Germanic L"	"Germanic Languages & Lit Dept"	"1901/01/01 00:00:00"	"100"	"Minor -German Studies BA"
"GERSBS"	"Germanic L"	"Germanic Languages & Lit Dept"	"1901/01/01 00:00:00"	"100"	"Minor -German Studies BS"
"GLCHAB"	"Environmen"	"Program in the Environment"	"1901/01/01 00:00:00"	"100"	"Minor -Global Change BA"
"GLCHBS"	"Environmen"	"Program in the Environment"	"1901/01/01 00:00:00"	"100"	"Minor -Global Change BS"
"HISTAB"	"History De"	"History Department"	"1901/01/01 00:00:00"	"100"	"Minor -History BA"
"HISTBS"	"History De"	"History Department"	"1901/01/01 00:00:00"	"100"	"Minor -History BS"
"JUDSTAB"	"Judaic Stu"	"Judaic Studies Program"	"1901/01/01 00:00:00"	"100"	"Minor -Judaic Studies BA"
"JUDSTBS"	"Judaic Stu"	"Judaic Studies Program"	"1901/01/01 00:00:00"	"100"	"Minor -Judaic Studies BS"
"LACSAB"	"Latin Amer"	"Latin Amer & Carribean Studies"	"1901/01/01 00:00:00"	"100"	"Minor -Lat Am & Carib St BA"
"LACSBS"	"Latin Amer"	"Latin Amer & Carribean Studies"	"1901/01/01 00:00:00"	"100"	"Minor -Lat Am & Carib St BS"
"LINGAB"	"Linguistic"	"Department of Linguistics"	"1901/01/01 00:00:00"	"100"	"Minor -Linguistics BA"
"LINGBS"	"Linguistic"	"Department of Linguistics"	"1901/01/01 00:00:00"	"100"	"Minor -Linguistics BS"
"LLCAGAB"	"Classical"	"Classical Studies Department"	"1901/01/01 00:00:00"	"100"	"Minor -Lan,Lit,Clt A Greec BA"
"LLCAGBS"	"Classical"	"Classical Studies Department"	"1901/01/01 00:00:00"	"100"	"Minor -Lan,Lit,Clt A Greec BS"
"LLCARAB"	"Classical"	"Classical Studies Department"	"1901/01/01 00:00:00"	"100"	"Minor -Lan,Lit,Cult An Rome BA"
"LLCARBS"	"Classical"	"Classical Studies Department"	"1901/01/01 00:00:00"	"100"	"Minor -Lan,Lit,Cult An Rome BS"
