"ACAD_PLAN"	"ACAD_PLAN_EFFDT"	"ACAD_PLAN_EFF_STATUS"	"ACAD_PLAN_DESCR"	"ACAD_PLAN_TYPE"	"ACAD_PLAN_TYPE_DESCRSHORT"	"ACAD_PROG"	"CIP_CODE"	"CIP_DESCR"	"CIP_DESCR254"	"HEGIS_CODE"	"HEGIS_DESCR"	"HEGIS_DESCR60"	"ACAD_CAREER"	"STUDY_FIELD"	"STUDY_FIELD_DESCRSHORT"	"STUDY_FIELD_DESCRFORMAL"	"DEGREE"	"TRNSCR_DESCR"	"RACK_DIVSN_CD"	"RACK_DIVSN_DESCR"	"CIP_ALTERNATIVE_CD"	"CIP_ALTERNATIVE_DESCR"	"CIP_ALTERNATIVE_DESCRSHORT"	"LAST_ADM_TERM"	"LAST_ADM_TERM_DESCRSHORT"
"CASCAB"	01-JAN-01	"A"	"Minor -Comm Action & Soc Ch BA"	"MIN"	"Minor"	" "	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	" "	" "	" "	"UKIN"	" "	" "	" "	"AB"	"Community Action and Social Change"	" "	" "	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
"CASCABLSA"	01-JAN-01	"A"	"Minor -Comm Action & Soc Ch BA"	"MIN"	"Minor"	" "	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	" "	" "	" "	"ULSA"	" "	" "	" "	"AB"	"Community Action and Social Change"	" "	" "	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
"CASCABPP"	01-JAN-01	"A"	"Minor -Comm Action & Soc Ch BA"	"MIN"	"Minor"	" "	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	" "	" "	" "	"UPP"	" "	" "	" "	"AB"	"Community Action and Social Change"	" "	" "	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
"CASCARTAB"	01-JAN-01	"A"	"Minor -Comm Action & Soc Ch BA"	"MIN"	"Minor"	" "	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	" "	" "	" "	"UART"	" "	" "	" "	"AB"	"Minor - Community Action and Social Change"	" "	" "	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
"CASCBBA"	01-JAN-01	"A"	"Minor -Comm Action & SocCh BBA"	"MIN"	"Minor"	" "	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	" "	" "	" "	"UBA"	" "	" "	" "	"BBA"	"Community Action and Social Change"	" "	" "	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
"CASCBDA"	01-JAN-01	"A"	"Minor -Comm Action & SocCh BDA"	"MIN"	"Minor"	" "	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	" "	" "	" "	"UMUS"	" "	" "	" "	"BDA"	"Community Action and Social Change"	" "	" "	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
"CASCBFA"	01-JAN-01	"A"	"Minor -Comm Action & SocCh BFA"	"MIN"	"Minor"	" "	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	" "	" "	" "	"UART"	" "	" "	" "	"BFA"	"Minor - Community Action and Social Change"	" "	" "	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
"CASCBFAIP"	01-JAN-01	"A"	"Minor -Com Action & Soc Ch BFA"	"MIN"	"Minor"	" "	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	" "	" "	" "	"UJND"	" "	" "	" "	"BFA"	"Community Action and Social Change"	" "	" "	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
"CASCBFAM"	01-JAN-01	"A"	"Minor -Comm Action & SocCh BFA"	"MIN"	"Minor"	" "	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	" "	" "	" "	"UMUS"	" "	" "	" "	"BFA"	"Community Action and Social Change"	" "	" "	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
"CASCBMA"	01-JAN-01	"A"	"Minor -Comm Act & SocCh BMusA"	"MIN"	"Minor"	" "	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	" "	" "	" "	"UMUS"	" "	" "	" "	"BMA"	"Community Action and Social Change"	" "	" "	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
"CASCBMU"	01-JAN-01	"A"	"Minor -Comm Act & SocCh BMus"	"MIN"	"Minor"	" "	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	" "	" "	" "	"UMUS"	" "	" "	" "	"BMU"	"Community Action and Social Change"	" "	" "	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
"CASCBNU"	01-JAN-01	"A"	"Minor -Comm Action & Soc Ch BS"	"MIN"	"Minor"	" "	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	" "	" "	" "	"UNUR"	" "	" "	" "	"BNU"	"Community Action and Social Change"	" "	" "	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
"CASCBS"	01-JAN-01	"A"	"Minor -Comm Action & Soc Ch BS"	"MIN"	"Minor"	" "	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	" "	" "	" "	"UKIN"	" "	" "	" "	"BS"	"Community Action and Social Change"	" "	" "	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
"CASCBSAUP"	01-JAN-01	"A"	"Minor -Comm Action & Soc Ch BS"	"MIN"	"Minor"	" "	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	" "	" "	" "	"UARC"	" "	" "	" "	"BS"	"Community Action and Social Change"	" "	" "	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
"CASCBSEAER"	01-JAN-01	"A"	"Minor -ComAct & SocCh BSE Aero"	"MIN"	"Minor"	" "	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	" "	" "	" "	"UENG"	" "	" "	" "	"BSA"	"Community Action and Social Change"	" "	" "	"124"	"Multi Interdisciplinary Study"	"IntrDiscp"	" "	" "
