deptid	subject_dept	acad_dept	dept_group	div	subject
000000	NA	NA	NA	NA	TRGENCR
000000	NA	NA	NA	NA	ADJTRCR
000000	NA	NA	NA	NA	INTERNS
000000	NA	NA	NA	NA	PRECALTC
000000	NA	NA	NA	NA	UGTOTADJ
000000	NA	NA	NA	NA	INTERSS
000000	NA	NA	NA	NA	ENGCMPTC
000000	NA	NA	NA	NA	INTERHUM
000000	NA	NA	NA	NA	INTERID
170000	College of Literature, Science, and the Arts	Literature, Science & the Arts	COLLEGE_OF_LSA	O	AMERINST
170000	College of Literature, Science, and the Arts	Literature, Science & the Arts	COLLEGE_OF_LSA	O	COLLEGE
170000	College of Literature, Science, and the Arts	Literature, Science & the Arts	COLLEGE_OF_LSA	O	SPEECH
170000	College of Literature, Science, and the Arts	Literature, Science & the Arts	COLLEGE_OF_LSA	O	GEOG
170000	College of Literature, Science, and the Arts	Literature, Science & the Arts	COLLEGE_OF_LSA	O	JOURN
170000	College of Literature, Science, and the Arts	Literature, Science & the Arts	COLLEGE_OF_LSA	O	CCP
170000	College of Literature, Science, and the Arts	Literature, Science & the Arts	COLLEGE_OF_LSA	O	INTINS
170000	College of Literature, Science, and the Arts	Literature, Science & the Arts	COLLEGE_OF_LSA	O	THTRELSA
170000	College of Literature, Science, and the Arts	Literature, Science & the Arts	COLLEGE_OF_LSA	O	POPSTD
170400	Lloyd Hall Scholars Program	Literature, Science & the Arts	COLLEGE_OF_LSA	O	LHSP
171100	Humanities Institute	Literature, Science & the Arts	COLLEGE_OF_LSA	H	INSTHUM
171500	Office of International Programs	Literature, Science & the Arts	COLLEGE_OF_LSA	O	STDABRD
171800	College of L S & A Inteflex Program	Literature, Science & the Arts	COLLEGE_OF_LSA	O	INTEFLEX
171900	LS&A First Year Seminars	Literature, Science & the Arts	COLLEGE_OF_LSA	O	UC
172000	Anthropology Department	Literature, Science & the Arts	COLLEGE_OF_LSA	SS	ANTHRBIO
172000	Anthropology Department	Literature, Science & the Arts	COLLEGE_OF_LSA	SS	ANTHRARC
172000	Anthropology Department	Literature, Science & the Arts	COLLEGE_OF_LSA	SS	ANTHRCUL
172500	Astronomy Department	Literature, Science & the Arts	COLLEGE_OF_LSA	S	ASTRO
173300	Program in the Environment	Literature, Science & the Arts	COLLEGE_OF_LSA	S	ENVIRON
173500	Chemistry Department	Literature, Science & the Arts	COLLEGE_OF_LSA	S	CHEM
174000	Classical Studies Department	Literature, Science & the Arts	COLLEGE_OF_LSA	H	CLLING
174000	Classical Studies Department	Literature, Science & the Arts	COLLEGE_OF_LSA	H	GTBOOKS
174000	Classical Studies Department	Literature, Science & the Arts	COLLEGE_OF_LSA	H	GREEKMOD
174000	Classical Studies Department	Literature, Science & the Arts	COLLEGE_OF_LSA	H	GREEK
174000	Classical Studies Department	Literature, Science & the Arts	COLLEGE_OF_LSA	H	MODGREEK
174000	Classical Studies Department	Literature, Science & the Arts	COLLEGE_OF_LSA	H	CLCIV
174000	Classical Studies Department	Literature, Science & the Arts	COLLEGE_OF_LSA	H	CLARCH
174000	Classical Studies Department	Literature, Science & the Arts	COLLEGE_OF_LSA	H	LATIN
174600	Program In Computer Science	Literature, Science & the Arts	COLLEGE_OF_LSA	S	CMPTRSC
174700	Organizational Studies	Literature, Science & the Arts	COLLEGE_OF_LSA	SS	ORGSTUDY
175000	Economics Department	Literature, Science & the Arts	COLLEGE_OF_LSA	SS	ECON
175500	English Language & Literature Dept	Literature, Science & the Arts	COLLEGE_OF_LSA	H	ECB
175500	English Language & Literature Dept	Literature, Science & the Arts	COLLEGE_OF_LSA	H	ENGLISH
175600	Sweetland Center for Writing	Literature, Science & the Arts	COLLEGE_OF_LSA	O	SWC
175600	Sweetland Center for Writing	Literature, Science & the Arts	COLLEGE_OF_LSA	O	WRITING
176000	Asian Languages And Cultures	Literature, Science & the Arts	COLLEGE_OF_LSA	H	ASIAN
176000	Asian Languages And Cultures	Literature, Science & the Arts	COLLEGE_OF_LSA	H	BUDDHST
176000	Asian Languages And Cultures	Literature, Science & the Arts	COLLEGE_OF_LSA	H	KOREAN
176000	Asian Languages And Cultures	Literature, Science & the Arts	COLLEGE_OF_LSA	H	CHIN
176000	Asian Languages And Cultures	Literature, Science & the Arts	COLLEGE_OF_LSA	H	JAPANESE
176000	Asian Languages And Cultures	Literature, Science & the Arts	COLLEGE_OF_LSA	H	ASIANLAN
176000	Asian Languages And Cultures	Literature, Science & the Arts	COLLEGE_OF_LSA	H	SSEA
177000	Earth and Environmental Sciences	Literature, Science & the Arts	COLLEGE_OF_LSA	S	GEOSCI
177000	Earth and Environmental Sciences	Literature, Science & the Arts	COLLEGE_OF_LSA	S	EARTH
178000	Germanic Languages & Lit Dept	Literature, Science & the Arts	COLLEGE_OF_LSA	H	SCAND
178000	Germanic Languages & Lit Dept	Literature, Science & the Arts	COLLEGE_OF_LSA	H	GERMAN
178000	Germanic Languages & Lit Dept	Literature, Science & the Arts	COLLEGE_OF_LSA	H	DUTCH
179000	History Department	Literature, Science & the Arts	COLLEGE_OF_LSA	H	HISTORY
179000-SR	Medieval and Early Modern Studies	Literature, Science & the Arts	 	H	MARC
179000-SR	Medieval and Early Modern Studies	Literature, Science & the Arts	 	H	MEMS
179100	Judaic Studies Program	Literature, Science & the Arts	COLLEGE_OF_LSA	H	YIDDISH
179100	Judaic Studies Program	Literature, Science & the Arts	COLLEGE_OF_LSA	H	JUDAIC
179500	History Of Art Department	Literature, Science & the Arts	COLLEGE_OF_LSA	H	MUSEUMS
179500	History Of Art Department	Literature, Science & the Arts	COLLEGE_OF_LSA	H	HISTART
180000	Honors Program	Literature, Science & the Arts	COLLEGE_OF_LSA	O	HONORS
181200	Department of Linguistics	Literature, Science & the Arts	COLLEGE_OF_LSA	SS	LING
181200	Department of Linguistics	Literature, Science & the Arts	COLLEGE_OF_LSA	SS	COGSCI
181500	English Language Institute	Literature, Science & the Arts	COLLEGE_OF_LSA	H	ELI
183000	Mathematics Department	Literature, Science & the Arts	COLLEGE_OF_LSA	S	MATH
183500	Near Eastern Studies Department	Literature, Science & the Arts	COLLEGE_OF_LSA	H	ANCBIBL
183500	Near Eastern Studies Department	Literature, Science & the Arts	COLLEGE_OF_LSA	H	TURKISH
183500	Near Eastern Studies Department	Literature, Science & the Arts	COLLEGE_OF_LSA	H	NESLANG
183500	Near Eastern Studies Department	Literature, Science & the Arts	COLLEGE_OF_LSA	H	NELC
183500	Near Eastern Studies Department	Literature, Science & the Arts	COLLEGE_OF_LSA	H	AAPTIS
183500	Near Eastern Studies Department	Literature, Science & the Arts	COLLEGE_OF_LSA	H	NES
183500	Near Eastern Studies Department	Literature, Science & the Arts	COLLEGE_OF_LSA	H	ARMENIAN
183500	Near Eastern Studies Department	Literature, Science & the Arts	COLLEGE_OF_LSA	H	ARABIC
183500	Near Eastern Studies Department	Literature, Science & the Arts	COLLEGE_OF_LSA	H	PERSIAN
183500	Near Eastern Studies Department	Literature, Science & the Arts	COLLEGE_OF_LSA	H	HJCS
183500	Near Eastern Studies Department	Literature, Science & the Arts	COLLEGE_OF_LSA	H	NEAREAST
183500	Near Eastern Studies Department	Literature, Science & the Arts	COLLEGE_OF_LSA	H	HEBREW
183500	Near Eastern Studies Department	Literature, Science & the Arts	COLLEGE_OF_LSA	H	IRANIAN
183500	Near Eastern Studies Department	Literature, Science & the Arts	COLLEGE_OF_LSA	H	ACABS
184000	Philosophy Department	Literature, Science & the Arts	COLLEGE_OF_LSA	H	PHIL
184000	Philosophy Department	Literature, Science & the Arts	COLLEGE_OF_LSA	H	PPE
184500	Physics Department	Literature, Science & the Arts	COLLEGE_OF_LSA	S	PHYSICS
184600	Applied Physics Program	Literature, Science & the Arts	COLLEGE_OF_LSA	S	APPPHYS
185000	Political Science Department	Literature, Science & the Arts	COLLEGE_OF_LSA	SS	POLSCI
185500	Psychology Department	Literature, Science & the Arts	COLLEGE_OF_LSA	SS	PSYCH
186000	College of L S & A Residential College	Literature, Science & the Arts	COLLEGE_OF_LSA	O	RCHUMS
186000	College of L S & A Residential College	Literature, Science & the Arts	COLLEGE_OF_LSA	O	RCSSCI
186000	College of L S & A Residential College	Literature, Science & the Arts	COLLEGE_OF_LSA	O	RCARTS
186000	College of L S & A Residential College	Literature, Science & the Arts	COLLEGE_OF_LSA	O	RCCORE
186000	College of L S & A Residential College	Literature, Science & the Arts	COLLEGE_OF_LSA	O	RCNSCI
186000	College of L S & A Residential College	Literature, Science & the Arts	COLLEGE_OF_LSA	O	RCMATH
186000	College of L S & A Residential College	Literature, Science & the Arts	COLLEGE_OF_LSA	O	RCASL
186000	College of L S & A Residential College	Literature, Science & the Arts	COLLEGE_OF_LSA	O	ENVRNSTD
186000	College of L S & A Residential College	Literature, Science & the Arts	COLLEGE_OF_LSA	O	RCLANG
186000	College of L S & A Residential College	Literature, Science & the Arts	COLLEGE_OF_LSA	O	RCIDIV
186000	College of L S & A Residential College	Literature, Science & the Arts	COLLEGE_OF_LSA	O	RCISCI
186500	Romance Languages Department	Literature, Science & the Arts	COLLEGE_OF_LSA	H	ITALIAN
186500	Romance Languages Department	Literature, Science & the Arts	COLLEGE_OF_LSA	H	PORTUG
186500	Romance Languages Department	Literature, Science & the Arts	COLLEGE_OF_LSA	H	ROMLANG
186500	Romance Languages Department	Literature, Science & the Arts	COLLEGE_OF_LSA	H	ROMANIAN
186500	Romance Languages Department	Literature, Science & the Arts	COLLEGE_OF_LSA	H	FRENCH
186500	Romance Languages Department	Literature, Science & the Arts	COLLEGE_OF_LSA	H	ROMLING
186500	Romance Languages Department	Literature, Science & the Arts	COLLEGE_OF_LSA	H	SPANISH
187000	Slavic Languages & Lit Dept	Literature, Science & the Arts	COLLEGE_OF_LSA	H	CZECH
187000	Slavic Languages & Lit Dept	Literature, Science & the Arts	COLLEGE_OF_LSA	H	UKR
187000	Slavic Languages & Lit Dept	Literature, Science & the Arts	COLLEGE_OF_LSA	H	RUSSIAN
187000	Slavic Languages & Lit Dept	Literature, Science & the Arts	COLLEGE_OF_LSA	H	SLAVIC
187000	Slavic Languages & Lit Dept	Literature, Science & the Arts	COLLEGE_OF_LSA	H	POLISH
187000	Slavic Languages & Lit Dept	Literature, Science & the Arts	COLLEGE_OF_LSA	H	UKRAINE
187000	Slavic Languages & Lit Dept	Literature, Science & the Arts	COLLEGE_OF_LSA	H	SERBOCRO
187000	Slavic Languages & Lit Dept	Literature, Science & the Arts	COLLEGE_OF_LSA	H	BCS
187500	Sociology Department	Literature, Science & the Arts	COLLEGE_OF_LSA	SS	SOC
188300	Communication Studies	Literature, Science & the Arts	COLLEGE_OF_LSA	SS	MASSCOMM
188300	Communication Studies	Literature, Science & the Arts	COLLEGE_OF_LSA	SS	COMM
188500	Statistics Department	Literature, Science & the Arts	COLLEGE_OF_LSA	S	STATS
188700	Women's Studies Department	Literature, Science & the Arts	COLLEGE_OF_LSA	H	WOMENSTD
188900	Biology Department	Literature, Science & the Arts	COLLEGE_OF_LSA	S	BOTANY
188900	Biology Department	Literature, Science & the Arts	COLLEGE_OF_LSA	S	ZOOLOGY
188900	Biology Department	Literature, Science & the Arts	COLLEGE_OF_LSA	S	BIOLOGY
189000	Molecular, Cellular, and Developmental Biology	Literature, Science & the Arts	COLLEGE_OF_LSA	S	MCDB
189100	Ecology & Evolutionary Biology	Literature, Science & the Arts	COLLEGE_OF_LSA	S	EEB
190000	International Institute	Literature, Science & the Arts	COLLEGE_OF_LSA	SS	CICS
190000	International Institute	Literature, Science & the Arts	COLLEGE_OF_LSA	SS	INTLSTD
190300	Department of Afro-American and African Studies	Literature, Science & the Arts	COLLEGE_OF_LSA	SS	CAAS
190300	Department of Afro-American and African Studies	Literature, Science & the Arts	COLLEGE_OF_LSA	SS	AAS
191000	Center For Chinese Studies	Literature, Science & the Arts	COLLEGE_OF_LSA	H	CCS
191200	Comprehensive Studies Program	Literature, Science & the Arts	COLLEGE_OF_LSA	O	CSP
191400	Comparative Literature Program	Literature, Science & the Arts	COLLEGE_OF_LSA	H	COMPLIT
191600	Screen Arts and Cultures	Literature, Science & the Arts	COLLEGE_OF_LSA	H	SAC
191600	Screen Arts and Cultures	Literature, Science & the Arts	COLLEGE_OF_LSA	H	FILMVID
192000	Center For Japanese Studies	Literature, Science & the Arts	COLLEGE_OF_LSA	H	CJS
192500	Center for Middle Eastern & North African Studies	Literature, Science & the Arts	COLLEGE_OF_LSA	H	MENAS
193000	American Culture Program	Literature, Science & the Arts	COLLEGE_OF_LSA	H	NATIVEAM
193000	American Culture Program	Literature, Science & the Arts	COLLEGE_OF_LSA	H	AMCULT
193000	American Culture Program	Literature, Science & the Arts	COLLEGE_OF_LSA	H	ARABAM
193000	American Culture Program	Literature, Science & the Arts	COLLEGE_OF_LSA	H	ASIANPAM
193000	American Culture Program	Literature, Science & the Arts	COLLEGE_OF_LSA	H	LATINOAM
194000	Center for Russian, E. European & Eurasian Studies	Literature, Science & the Arts	COLLEGE_OF_LSA	H	REEES
194000	Center for Russian, E. European & Eurasian Studies	Literature, Science & the Arts	COLLEGE_OF_LSA	H	REES
194400	South Asian Studies	Literature, Science & the Arts	COLLEGE_OF_LSA	H	SAS
194500	South East Asian Studies	Literature, Science & the Arts	COLLEGE_OF_LSA	H	SEAS
194700	Studies In Religion	Literature, Science & the Arts	COLLEGE_OF_LSA	H	RELIGION
195000	Center For West European Studi	Literature, Science & the Arts	COLLEGE_OF_LSA	H	WEURSTD
195000	Center For West European Studi	Literature, Science & the Arts	COLLEGE_OF_LSA	H	EURO
195100	Latin Amer & Carribean Studies	Literature, Science & the Arts	COLLEGE_OF_LSA	H	LACS
201000	Exhibit Museum	Stamps School of Art & Design	COLLEGE_OF_LSA	H	MUSMETH
210000	College Of Engineering	Engineering	COLLEGE_ENGINEERING	E	CICE
210000	College Of Engineering	Engineering	COLLEGE_ENGINEERING	E	HUM
210308	CoE Robotics Institute	Engineering	COLLEGE_ENGINEERING	E	ROB
210400	Engineering Undergraduate Educ	Engineering	COLLEGE_ENGINEERING	E	ENTR
210400	Engineering Undergraduate Educ	Engineering	COLLEGE_ENGINEERING	E	ENGR
210501	Engineering Study Abroad	Engineering	COLLEGE_ENGINEERING	E	ENGINSA
210503	Integrative Systems and Design	Engineering	COLLEGE_ENGINEERING	E	ESENG
210503	Integrative Systems and Design	Engineering	COLLEGE_ENGINEERING	E	RAV
210503	Integrative Systems and Design	Engineering	COLLEGE_ENGINEERING	E	SEND
210503	Integrative Systems and Design	Engineering	COLLEGE_ENGINEERING	E	AUTO
210503	Integrative Systems and Design	Engineering	COLLEGE_ENGINEERING	E	ISD
210503	Integrative Systems and Design	Engineering	COLLEGE_ENGINEERING	E	FINENG
210600	Biomedical Engineering	Engineering	COLLEGE_ENGINEERING	E	BIOMEDE
210700	Program In Manufacturing	Engineering	COLLEGE_ENGINEERING	E	MFG
211030	Macromolecular Sci & Engr Ctr	Literature, Science & the Arts	COLLEGE_ENGINEERING	E	MACROMOL
211500	NA	NA	NA	NA	ENSCEN
212000	Aerospace Engineering	Engineering	COLLEGE_ENGINEERING	E	AEROSP
213000	Chemical Engineering Department	Engineering	COLLEGE_ENGINEERING	E	CHE
214000	NA	NA	NA	NA	CTENGED
215000	Civil & Environmental Engr	Engineering	COLLEGE_ENGINEERING	E	CEE
216000	Electrical Engr & Computer Sci	Engineering	COLLEGE_ENGINEERING	E	EECS
220000	Technical Communication	Engineering	COLLEGE_ENGINEERING	E	TCHNCLCM
221000	Industrial-Operations Engr Dep	Engineering	COLLEGE_ENGINEERING	E	IOE
221800	Materials Science & Engineering	Engineering	COLLEGE_ENGINEERING	E	MATSCIE
222500	Mech Eng & Applied Mech Dept	Engineering	COLLEGE_ENGINEERING	E	AMES
222500	Mech Eng & Applied Mech Dept	Engineering	COLLEGE_ENGINEERING	E	MECHENG
224000	Atm, Oceanic And Space Science	Engineering	COLLEGE_ENGINEERING	E	AOSS
225500	Naval Arch & Marine Engr Dept	Engineering	COLLEGE_ENGINEERING	E	NAVARCH
