"SUBJECT"	"SUBJECT_EFFDT"	"SUBJECT_EFF_STATUS"	"SUBJECT_DESCR"	"SUBJECT_DESCRSHORT"	"DEPTID"	"DEPT_DESCRSHORT"	"DEPT_DESCRFORMAL"	"CIP_CODE"	"CIP_DESCR"	"CIP_DESCR254"	"HEGIS_CODE"	"HEGIS_DESCR"	"HEGIS_DESCR60"
"AAPTIS"	01-JAN-01	"A"	"Arab, Armen, Pers, Turk& Islam"	"APTIS"	"183500"	"N East Std"	"Near Eastern Studies Department"	"16.1199"	"Middle/Near Eastern and Semiti"	"Middle/Near Eastern and Semitic Languages, Literatures,  and Linguistics, Other"	"11.00"	"FOREIGN LANG UNCLASSIFD"	"FOREIGN LANG UNCLASSIFD"
"AAS"	01-JAN-01	"A"	"Afroamerican & African Studies"	"Afroamer"	"190300"	"AfroAm&Af"	"Department of Afro-American and African Studies"	"05.0201"	"African-American/Black Studies"	"African-American/Black Studies"	"22.00"	"SOCIAL SCI UNCLASSIFIED"	"SOCIAL SCI UNCLASSIFIED"
"ACABS"	01-JAN-01	"A"	"Ancient Civiliz & Biblical Stu"	"ACABS"	"183500"	"N East Std"	"Near Eastern Studies Department"	"16.1103"	"Ancient Near Eastern and Bibli"	"Ancient Near Eastern and Biblical Languages, Literatures,  and Linguistics"	"11.00"	"FOREIGN LANG UNCLASSIFD"	"FOREIGN LANG UNCLASSIFD"
"ACC"	01-JAN-01	"A"	"Accounting"	"Acctg"	"380000"	"BUS AD"	"School of Business Administration"	"52.0301"	"Accounting"	"Accounting"	"05.00"	"BUSINESS-UNCLASSIFIED"	"BUSINESS-UNCLASSIFIED"
"ADABRD"	01-JAN-01	"A"	"Art and Design Study Abroad"	"A&D SA"	"373000"	"ART"	"School Of Art And Design"	"50.0701"	"Art/Art Studies, General"	"Art/Art Studies, General"	"10.00"	"FINE ARTS UNCLASSIFIED"	"FINE ARTS UNCLASSIFIED"
"ADELD"	01-JAN-01	"A"	"Adults & Elder In Famil & Soc"	"Adult&Eld"	"465000"	"SOC WK"	"School Of Social Work"	"44.0701"	"Social Work"	"Social Work"	"21.04"	"SOCIAL WORK & HELPNG SER"	"SOCIAL WORK & HELPNG SER"
"ADJTRCR"	01-JAN-01	"A"	"Adjust Or Summary Of Trans Cr"	"Adj/Sumtc"	"000000"	"All Orgs ("	"All Orgs (Org Security Only)"	"45.9999"	"Social Sciences, Other"	"Social Sciences, Other"	"49.03"	"HUMANITIES & SOCIAL SCI"	"HUMANITIES & SOCIAL SCI"
"ADMIN"	01-JAN-01	"A"	"Administration"	"Admin"	"465000"	"SOC WK"	"School Of Social Work"	"44.0701"	"Social Work"	"Social Work"	"21.00"	"PUBLIC AFFAIRS UNCLASSFD"	"PUBLIC AFFAIRS UNCLASSFD"
"AERO"	01-JAN-01	"A"	"Air Force Officer Education"	"Air Force"	"416000"	"AF O E"	"Air Force Officer Education Pg"	"28.0101"	"Air Force JROTC/ROTC"	"Air Force JROTC/ROTC"	"18.00"	"MILITARY SCI UNCLASSIFD"	"MILITARY SCI UNCLASSIFD"
"AEROSP"	01-JAN-01	"A"	"Aerospace Engineering"	"Aero"	"212000"	"Aerospace"	"Aerospace Engineering"	"14.0201"	"Aerospace, Aeronautical and As"	"Aerospace, Aeronautical and Astronautical Engineering"	"09.00"	"ENGINEERING UNCLASSIFIED"	"ENGINEERING UNCLASSIFIED"
"AG"	29-APR-08	"I"	"Aging in Families and Society"	"AG"	"465000"	"SOC WK"	"School Of Social Work"	"44.0701"	"Social Work"	"Social Work"	"21.04"	"SOCIAL WORK & HELPNG SER"	"SOCIAL WORK & HELPNG SER"
"AMCULT"	01-JAN-01	"A"	"American Culture"	"Am Cult"	"193000"	"American C"	"American Culture Program"	"05.0102"	"American/United States Studies"	"American/United States Studies/Civilization"	"03.99"	"OTHER, AREA STUDIES"	"OTHER, AREA STUDIES"
"AMERINST"	01-JAN-01	"A"	"American Institutions"	"Amer Inst"	"170000"	"L S & A"	"College of Literature, Science, and the Arts"	"05.0102"	"American/United States Studies"	"American/United States Studies/Civilization"	"22.00"	"SOCIAL SCI UNCLASSIFIED"	"SOCIAL SCI UNCLASSIFIED"
"AMES"	01-JAN-01	"A"	"Applied Mech & Engin Science"	"AMES"	"222500"	"Mech Eng &"	"Mech Eng & Applied Mech Dept"	"14.1101"	"Engineering Mechanics"	"Engineering Mechanics"	"09.00"	"ENGINEERING UNCLASSIFIED"	"ENGINEERING UNCLASSIFIED"
"ANAT"	01-JAN-01	"A"	"Anatomy and Cell Biology"	"Anatomy"	"232000"	"CellDvBiol"	"Cell and Developmental Biology"	"26.0403"	"Anatomy"	"Anatomy"	"60.00"	"MEDICINE"	"MEDICINE"
"ANATOMY"	01-JAN-01	"A"	"Anatomy"	"Anatomy"	"258600"	"Anat Sci"	"Division of Anatomical Science"	"26.0403"	"Anatomy"	"Anatomy"	"60.00"	"MEDICINE"	"MEDICINE"
