SUBJECT	SUBJECT_DESCR	DEPTID	DEPT_DESCRSHORT	DEPT_DESCRFORMAL	ACAD_GROUP	ACAD_GROUP_DESCR	DEPT_GRP	DEPT_GRP_DESCR	DEPT_GRP_VP_AREA	DEPT_GRP_VP_AREA_DESCR	DIVISION
EECS	Elec Engin & Computer Sci	216000	Electrical	Electrical Engr & Computer Sci	ENG	Engineering	COLLEGE_ENGINEERING	College of Engineering	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	E
ARCH	Architecture	372100	A & UP	College of Architecture & Urban Planning	AUP	Architecture & Urban Planning	COLL_ARCH_URN_PLN	A. Alfred Taubman CA&UP	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	O
MATH	Mathematics	183000	Mathematic	Mathematics Department	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	S
FIN	Finance	380000	BUS AD	School of Business Administration	BA	Ross School of Business	SCHOOL_BUS_ADMIN	Ross School of Business	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	P
AMCULT	American Culture	187500	Sociology	Sociology Department	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	SS
MATSCIE	Materials Science Engineering	221800	Mat Sc & E	Materials Science & Engineering	ENG	Engineering	COLLEGE_ENGINEERING	College of Engineering	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	E
MECHENG	Mechanical Engineering	222500	Mech Eng &	Mech Eng & Applied Mech Dept	ENG	Engineering	COLLEGE_ENGINEERING	College of Engineering	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	E
ANTHRCUL	"Anthropology,Cultural"	172000	Anthropolo	Anthropology Department	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	SS
CAAS	Afroamerican & African Studies	190300	AfroAm&Af	Department of Afro-American and African Studies	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	SS
AMCULT	American Culture	188700	Women's St	Women's Studies Department	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	H
AMCULT	American Culture	193000	American C	American Culture Program	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	H
SI	Information	415000	INFOR	School of Information	INF	Information	SCHOOL_INFORMATION	School of Information	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	S
CHE	Chemical Engineering	213000	Chemical E	Chemical Engineering Department	ENG	Engineering	COLLEGE_ENGINEERING	College of Engineering	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	E
IOE	Industrial & Operations Engin	221000	Industrial	Industrial-Operations Engr Dep	ENG	Engineering	COLLEGE_ENGINEERING	College of Engineering	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	E
NAVARCH	Naval Arch & Marine Engin	225500	Naval Arch	Naval Arch & Marine Engr Dept	ENG	Engineering	COLLEGE_ENGINEERING	College of Engineering	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	E
NERS	Nuclear Engin & Radiolog Sci	227000	Nuclear En	Nuclear Engr & Radiological Sci	ENG	Engineering	COLLEGE_ENGINEERING	College of Engineering	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	E
ENGR	Engineering	210400	Engineerin	Engineering Undergraduate Educ	ENG	Engineering	COLLEGE_ENGINEERING	College of Engineering	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	E
HUM	Humanities	210000	ENGIN	College Of Engineering	ENG	Engineering	COLLEGE_ENGINEERING	College of Engineering	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	E
PHIL	Philosophy	184000	Philosophy	Philosophy Department	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	H
PHYSICS	Physics	184500	Physics De	Physics Department	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	S
ECON	Economics	175000	Economics	Economics Department	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	SS
ENGLISH	English Lang & Literature	175500	ELandL	English Language & Literature Dept	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	H
ANAT	Anatomy and Cell Biology	232000	CellDvBiol	Cell and Developmental Biology	MED	Medicine	MEDICAL_SCHOOL	Medical School	EXEC_VP_MED_AFF	Exec. VP for Medical Affairs	S
BIOLCHEM	Biological Chemistry	234000	Biological	Biological Chemistry Departmen	MED	Medicine	MEDICAL_SCHOOL	Medical School	EXEC_VP_MED_AFF	Exec. VP for Medical Affairs	S
STATS	Statistics	188500	Statistics	Statistics Department	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	S
STDABRD	Study Abroad	171500	StdyAbroad	Office of International Programs	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	O
THTRELSA	Theatre and Drama	170000	L S & A	"College of Literature, Science, and the Arts"	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	O
BIOSTAT	Biostatistics	456000	Biostatist	Biostatistics Department	PH	Public Health	SCHOOL_PUB_HEALTH	School of Public Health	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	S
EPID	Epidemiology	458000	Epidemiolo	Epidemiology Department	PH	Public Health	SCHOOL_PUB_HEALTH	School of Public Health	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	S
DENTPH	Dental Public Health	455000	PUB HL	School Of Public Health	PH	Public Health	SCHOOL_PUB_HEALTH	School of Public Health	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	SS
EIHLTH	Environ & Industrial Health	457500	Environmen	Environmental Health Sciences	PH	Public Health	SCHOOL_PUB_HEALTH	School of Public Health	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	S
PHARMACY	Pharmacy	445000	PHARM	College Of Pharmacy	PHR	Pharmacy	COLLEGE_PHARMACY	College of Pharmacy	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	P
AEROSP	Aerospace Engineering	212000	Aerospace	Aerospace Engineering	ENG	Engineering	COLLEGE_ENGINEERING	College of Engineering	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	E
PIANO	Piano	420000	Music	"School of Music, Theatre and Dance"	MUS	"Music, Theatre & Dance"	SCHOOL_MUSIC	School of Music	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	H
AMCULT	American Culture	179000	History De	History Department	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	H
BIOLOGY	Biology	435000	NR & E	Sch Of Nat Resources & Environ	LSA	"Literature, Science & the Arts"	SCHOOL_NAT_RES_ENVIR	School of Nat Resource and Env	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	S
FRENCH	French	186500	Romance La	Romance Languages Department	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	H
MACROMOL	Macromolecular Science	211030	Macromolec	Macromolecular Sci & Engr Ctr	LSA	"Literature, Science & the Arts"	COLLEGE_ENGINEERING	College of Engineering	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	E
POLSCI	Political Science	185000	Political	Political Science Department	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	SS
PATH	Pathology	251000	Pathology	Pathology Department	MED	Medicine	MEDICAL_SCHOOL	Medical School	EXEC_VP_MED_AFF	Exec. VP for Medical Affairs	S
MFG	Manufacturing	210700	Manufact	Program In Manufacturing	ENG	Engineering	COLLEGE_ENGINEERING	College of Engineering	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	E
AAPTIS	"Arab, Armen, Pers, Turk& Islam"	183500	N East Std	Near Eastern Studies Department	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	H
EEB	Ecology & Evolutionary Biology	173300	Environmen	Program in the Environment	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	S
ASTRO	Astronomy	172500	Astronomy	Astronomy Department	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	S
PUBPOL	Public Policy	464000	SPP	School Of Public Policy	IPP	Public Policy	SCHOOL_PUB_POLICY	Ford School of Public Policy	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	SS
INTEFLEX	Inteflex	171800	InteflxLSA	College of L S & A Inteflex Program	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	O
SSEA	South and Southeast Asia	176000	Asian Lang	Asian Languages And Cultures	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	H
PMR	Physical Medicine & Rehab	230000	Medical Sc	Medical School	MED	Medicine	MEDICAL_SCHOOL	Medical School	EXEC_VP_MED_AFF	Exec. VP for Medical Affairs	P
CHEM	Chemistry	173500	Chemistry	Chemistry Department	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	S
GERMAN	German	178000	Germanic L	Germanic Languages & Lit Dept	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	H
LATIN	Latin	174000	Classical	Classical Studies Department	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	H
LACS	Latin Amer & Caribbean Stu	195100	Latin Amer	Latin Amer & Carribean Studies	LSA	"Literature, Science & the Arts"	COLLEGE_OF_LSA	"College of Lit, Science & Arts"	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	H
BIOMEDE	Biomedical Engineering	210600	Biomedical	Biomedical Engineering	ENG	Engineering	COLLEGE_ENGINEERING	College of Engineering	PRVST_EXC_VP_ACA_AFF	Provost & Exec VP Academic Aff	E
